rank,case_id,primary_signal,investigation_priority_score,signal_financial_discrepancy,monthly_award,status_info,plain_language_summary,evidence_points,relevant_months,relevant_amounts,relevant_payment_ids,disclaimer
1,C-31298,Award Spike,99.63,7504.56,746.45,Active,"Case C-31298 received 6 payments during the observation period, with 6 exceeding twice the award relative to its recorded monthly award of $746.45. The largest payment was $2,211.51 (2.96x award), creating $7,504.56 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $746.45.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $2,211.51 in 2025-11 (2.96x the award, Transaction ID: P-107667).', 'Total cumulative excess above authorized award across all months is $7,504.56.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$2057.64, $1760.52, $2184.70, $1749.02, $2211.51, $2019.87","P-107663, P-107664, P-107665, P-107666, P-107667, P-107668",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
2,C-32995,Award Spike,91.46,6663.18,778.27,Active,"Case C-32995 received 6 payments during the observation period, with 6 exceeding twice the award relative to its recorded monthly award of $778.27. The largest payment was $2,106.50 (2.71x award), creating $6,663.18 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $778.27.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $2,106.50 in 2025-10 (2.71x the award, Transaction ID: P-117655).', 'Total cumulative excess above authorized award across all months is $6,663.18.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$2011.58, $1862.91, $1839.94, $2106.50, $1787.11, $1724.76","P-117652, P-117653, P-117654, P-117655, P-117656, P-117657",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
3,C-33743,Award Spike,87.5,5943.47,654.1,Active,"Case C-33743 received 6 payments during the observation period, with 6 exceeding twice the award relative to its recorded monthly award of $654.10. The largest payment was $1,825.22 (2.79x award), creating $5,943.47 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $654.10.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $1,825.22 in 2025-08 (2.79x the award, Transaction ID: P-122044).', 'Total cumulative excess above authorized award across all months is $5,943.47.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$1570.52, $1825.22, $1599.32, $1466.90, $1762.96, $1643.15","P-122043, P-122044, P-122045, P-122046, P-122047, P-122048",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
4,C-34196,Post-Closure,87.18,5581.7,1406.73,Closed (closure month: 2025-08),"Case C-34196 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $5,581.70 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $5,581.70.', 'Payment transactions involved: P-124734, P-124735, P-124736, P-124737.']","2025-09, 2025-10, 2025-11, 2025-12","$1454.60, $1390.00, $1380.78, $1356.32","P-124734, P-124735, P-124736, P-124737",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
5,C-33263,Award Spike,86.05,6919.42,1368.13,Suspended,"Case C-33263 received 6 payments during the observation period, with 6 exceeding 1.5x the award relative to its recorded monthly award of $1,368.13. The largest payment was $2,729.07 (1.99x award), creating $6,919.42 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $1,368.13.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $2,729.07 in 2025-07 (1.99x the award, Transaction ID: P-119208).', 'Total cumulative excess above authorized award across all months is $6,919.42.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$2729.07, $2539.15, $2617.41, $2253.21, $2651.16, $2338.20","P-119208, P-119209, P-119210, P-119211, P-119212, P-119213",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
6,C-31363,Post-Closure,83.51,5030.43,1272.29,Closed (closure month: 2025-08),"Case C-31363 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $5,030.43 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $5,030.43.', 'Payment transactions involved: P-108051, P-108052, P-108053, P-108054.']","2025-09, 2025-10, 2025-11, 2025-12","$1223.10, $1269.11, $1310.94, $1227.28","P-108051, P-108052, P-108053, P-108054",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
7,C-33927,Post-Closure,83.37,5010.65,1254.58,Closed (closure month: 2025-08),"Case C-33927 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $5,010.65 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $5,010.65.', 'Payment transactions involved: P-123143, P-123144, P-123145, P-123146.']","2025-09, 2025-10, 2025-11, 2025-12","$1290.67, $1251.79, $1254.26, $1213.93","P-123143, P-123144, P-123145, P-123146",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
8,C-30644,Award Spike,81.7,5800.18,902.73,Suspended,"Case C-30644 received 6 payments during the observation period, with 3 exceeding twice the award relative to its recorded monthly award of $902.73. The largest payment was $2,080.89 (2.31x award), creating $5,800.18 in calculated financial discrepancy relative to the authorized award.","['Authorized monthly award is $902.73.', '6 of 6 observed payments exceeded 1.5x the authorized monthly award.', 'Peak single-month payment was $2,080.89 in 2025-08 (2.31x the award, Transaction ID: P-103804).', 'Total cumulative excess above authorized award across all months is $5,800.18.']","2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12","$2074.46, $2080.89, $1756.93, $1692.58, $1824.80, $1786.90","P-103803, P-103804, P-103805, P-103806, P-103807, P-103808",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
9,C-30499,Post-Closure,80.3,4549.29,1201.51,Closed (closure month: 2025-08),"Case C-30499 was recorded as closed in 2025-08, but payments continued in 2025-09 through 2025-12, totaling $4,549.29 across 4 payment(s) recorded after the case's closure month. This pattern is prioritized for human review.","['Case closure officially logged in 2025-08.', '4 automated payments were disbursed post-closure between 2025-09 and 2025-12.', 'Total amount disbursed after closure month is $4,549.29.', 'Payment transactions involved: P-102947, P-102948, P-102949, P-102950.']","2025-09, 2025-10, 2025-11, 2025-12","$1189.20, $1267.26, $883.16, $1209.67","P-102947, P-102948, P-102949, P-102950",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
10,C-33980,Duplicate,79.36,4488.39,1086.29,Active (Active case with multiple within-month duplicate disbursements),"Case C-33980 received multiple identical disbursements within the same billing month. This occurred across 4 separate month(s) (2025-08, 2025-09, 2025-10, 2025-11), producing $4,488.39 in duplicate excess funds that warrant review.","['Identical duplicate payments recorded in 4 separate month(s): 2025-08, 2025-09, 2025-10, 2025-11.', 'Total duplicate excess amount is $4,488.39 across 8 duplicate transaction records.', 'Payment methods used in duplicate months: Transfer, Card.', 'Duplicate transaction IDs: P-123456, P-123457, P-123458, P-123459, P-123460, P-123461, P-123462, P-123463.']","2025-08, 2025-09, 2025-10, 2025-11","$1121.12, $1121.12, $1131.69, $1131.69, $1110.48, $1110.48, $1125.10, $1125.10","P-123456, P-123457, P-123458, P-123459, P-123460, P-123461, P-123462, P-123463",This ranking identifies cases for investigation based on observed payment patterns. It does not determine whether a payment was improper. Human review is required.
