rank,case_id,district,household_size,age_band,language_preference,tenure,opened_date,status,closure_month,monthly_award,payment_adjustments,contact_attempts,months_since_review,expected_active_months,expected_total_award,total_payment_amount,payment_count,average_payment,maximum_payment,minimum_payment,payment_amount_variability,months_with_payments,max_payment_to_award_ratio,mean_payment_to_award_ratio,total_excess_above_award,average_excess_above_award,payments_above_1_5x_count,payments_above_2x_count,post_closure_payment_count,post_closure_total_amount,post_closure_month_count,first_post_closure_month,last_post_closure_month,duplicate_payment_count,duplicate_excess_amount,duplicate_month_count,duplicate_involves_different_methods,actual_adjustment_count,adjustment_rate,adjustment_month_count,adjustment_amount_total,net_excess_paid,primary_signal,algorithmic_signal_status,investigator_review_status,feedback_action,is_administratively_cleared,investigator_feedback_reason,signal_financial_discrepancy,norm_financial,norm_persistence,norm_strength,investigation_priority_score
1,C-31298,Ash Hill,4,30-44,Spanish,Private tenancy,2022-09-16,Active,,746.45,3,5,8,6,4478.700000000001,11983.26,6,1997.21,2211.51,1749.02,201.42625588537354,6,2.9627034630584768,2.675611226471967,7504.5599999999995,1250.76,6,6,0,0.0,0,,,0,0.0,0,False,1,0.16666666666666666,1,2211.51,7504.5599999999995,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,7504.5599999999995,1.0,1.0,0.9813517315292384,99.62703463058477
2,C-32995,Calder Central,4,60-74,English,Resident with family,2021-01-06,Active,,778.27,1,5,10,6,4669.62,11332.8,6,1888.8,2106.5,1724.76,143.37069979601824,6,2.7066442237269843,2.426921248409935,6663.18,1110.53,6,6,0,0.0,0,,,0,0.0,0,False,2,0.3333333333333333,2,3564.7,6663.179999999999,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,6663.18,0.8878841664268126,1.0,0.8533221118634922,91.46065055861047
3,C-33743,Calder Central,3,60-74,English,Resident with family,2023-10-24,Active,,654.1,2,5,9,6,3924.6000000000004,9868.07,6,1644.6783333333333,1825.22,1466.9,130.95812650105626,6,2.790429597920807,2.514414207817357,5943.47,990.5783333333334,6,6,0,0.0,0,,,0,0.0,0,False,1,0.16666666666666666,1,1570.52,5943.469999999999,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5943.47,0.7919811421322503,1.0,0.8952147989604036,87.50335308582059
4,C-34196,Northgate,4,30-44,English,Social tenancy,2025-02-21,Closed,2025-08,1406.73,3,3,12,2,2813.46,8412.96,6,1402.1599999999999,1454.6,1356.32,34.44739757949786,6,1.0340292735635124,0.9967513311012063,65.66999999999985,10.944999999999974,0,0,4,5581.7,4,2025-09,2025-12,0,0.0,0,False,2,0.3333333333333333,2,2831.26,5599.499999999999,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5581.7,0.7437744517999723,1.0,0.9995002498750624,87.17872758749988
5,C-33263,Calder Central,6,30-44,Spanish,No fixed abode,2025-03-20,Suspended,,1368.13,3,5,6,6,8208.78,15128.2,6,2521.366666666667,2729.07,2253.21,187.07516058169418,6,1.9947446514585603,1.842929156342355,6919.419999999999,1153.2366666666665,6,0,0,0.0,0,,,0,0.0,0,False,3,0.5,3,7242.57,6919.42,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,6919.419999999999,0.9220287398594987,1.0,0.49737232572928014,86.04888350756053
6,C-31363,Northgate,4,45-59,English,Resident with family,2023-07-16,Closed,2025-08,1272.29,2,3,21,2,2544.58,7435.62,6,1239.27,1310.94,1201.29,42.721799587564234,6,1.0303782942568125,0.9740467975068577,38.65000000000009,6.4416666666666815,0,0,4,5030.43,4,2025-09,2025-12,0,0.0,0,False,2,0.3333333333333333,2,2514.84,4891.04,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5030.43,0.6703164475998594,1.0,0.9995002498750624,83.50582737749421
7,C-33927,Northgate,4,60-74,Other,Social tenancy,2023-08-17,Closed,2025-08,1254.58,3,4,7,2,2509.16,7239.23,6,1206.5383333333332,1290.67,1005.93,101.94227198109073,6,1.0287665991806023,0.9617069723200858,36.090000000000146,6.0150000000000245,0,0,4,5010.65,4,2025-09,2025-12,0,0.0,0,False,0,0.0,0,0.0,4730.07,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5010.65,0.6676807167908578,1.0,0.9995002498750624,83.37404083704413
8,C-30644,Ash Hill,4,45-59,English,Social tenancy,2025-01-17,Suspended,,902.73,3,6,13,6,5416.38,11216.56,6,1869.4266666666665,2080.89,1692.58,167.0256523611467,6,2.305107839553355,2.070859134698821,5800.18,966.6966666666667,6,3,0,0.0,0,,,0,0.0,0,False,3,0.5,3,5624.72,5800.179999999999,Award Spike,SEVERE_AWARD_SPIKE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,5800.18,0.7728874177833212,1.0,0.6525539197766774,81.6954492846996
9,C-30499,Calder Central,4,45-59,English,Owner-occupier,2022-01-10,Closed,2025-08,1201.51,1,3,10,2,2403.02,6972.99,6,1162.165,1267.26,883.16,139.19880857967138,6,1.054722807134356,0.9672537057535934,94.59000000000015,15.765000000000024,0,0,4,4549.29,4,2025-09,2025-12,0,0.0,0,False,1,0.16666666666666666,1,883.16,4569.969999999999,Post-Closure,POST_CLOSURE_CONTINUATION,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,4549.29,0.6062034283155842,1.0,0.9995002498750624,80.30017641328047
10,C-33980,Weybridge,3,60-74,Spanish,Private tenancy,2021-01-29,Active,,1086.29,5,6,0,6,6517.74,11073.67,10,1107.367,1131.69,1030.15,33.03672200916892,6,1.0417936278525992,1.0194027377587935,286.46000000000004,28.646000000000004,0,0,0,0.0,0,,,4,4488.389999999999,4,True,4,0.4,3,4418.63,4555.93,Duplicate,IN_MONTH_DUPLICATE,UNREVIEWED_BY_INVESTIGATOR,NONE,False,,4488.389999999999,0.5980883622757364,1.0,0.9727701836879732,79.35982178754628
